date,pressconf,scheduled
9/29/1964,0,1
10/20/1964,0,1
11/10/1964,0,1
11/24/1964,0,0
12/1/1964,0,1
12/15/1964,0,1
1/12/1965,0,1
2/2/1965,0,1
3/2/1965,0,1
3/23/1965,0,1
4/13/1965,0,1
5/11/1965,0,1
5/25/1965,0,1
6/15/1965,0,1
7/13/1965,0,1
8/10/1965,0,1
8/31/1965,0,1
9/8/1965,0,0
9/28/1965,0,1
10/12/1965,0,1
11/2/1965,0,1
11/4/1965,0,0
11/23/1965,0,1
12/14/1965,0,1
1/11/1966,0,1
2/8/1966,0,1
3/1/1966,0,1
3/22/1966,0,1
4/12/1966,0,1
5/10/1966,0,1
6/7/1966,0,1
6/28/1966,0,1
7/11/1966,0,0
7/26/1966,0,1
8/23/1966,0,1
9/13/1966,0,1
10/4/1966,0,1
11/1/1966,0,1
11/22/1966,0,1
12/13/1966,0,1
1/10/1967,0,1
2/7/1967,0,1
3/7/1967,0,1
4/4/1967,0,1
5/2/1967,0,1
5/23/1967,0,1
6/20/1967,0,1
7/18/1967,0,1
8/15/1967,0,1
9/12/1967,0,1
10/3/1967,0,1
10/24/1967,0,1
11/14/1967,0,1
11/27/1967,0,1
12/12/1967,0,1
1/9/1968,0,1
2/6/1968,0,1
3/5/1968,0,1
3/14/1968,0,0
4/2/1968,0,1
4/19/1968,0,0
4/30/1968,0,1
5/28/1968,0,1
6/18/1968,0,1
7/16/1968,0,1
8/13/1968,0,1
8/19/1968,0,0
9/10/1968,0,1
10/8/1968,0,1
10/29/1968,0,1
11/26/1968,0,1
12/17/1968,0,1
1/14/1969,0,1
2/4/1969,0,1
3/4/1969,0,1
4/1/1969,0,1
4/29/1969,0,1
5/27/1969,0,1
6/24/1969,0,1
7/15/1969,0,1
8/12/1969,0,1
9/9/1969,0,1
10/7/1969,0,1
10/28/1969,0,1
11/25/1969,0,1
12/16/1969,0,1
1/15/1970,0,1
2/10/1970,0,1
3/10/1970,0,1
4/7/1970,0,1
5/5/1970,0,1
5/26/1970,0,1
6/23/1970,0,1
7/21/1970,0,1
8/18/1970,0,1
9/15/1970,0,1
10/20/1970,0,1
11/17/1970,0,1
12/15/1970,0,1
1/12/1971,0,1
2/9/1971,0,1
3/9/1971,0,1
4/6/1971,0,1
5/11/1971,0,1
6/8/1971,0,1
6/29/1971,0,1
7/27/1971,0,1
8/24/1971,0,1
9/21/1971,0,1
10/19/1971,0,1
11/16/1971,0,1
12/14/1971,0,1
1/11/1972,0,1
2/14/1972,0,1
2/15/1972,0,1
3/21/1972,0,1
4/17/1972,0,1
4/18/1972,0,1
5/23/1972,0,1
6/20/1972,0,1
7/18/1972,0,1
8/15/1972,0,1
9/19/1972,0,1
10/17/1972,0,1
11/21/1972,0,1
12/19/1972,0,1
1/16/1973,0,1
2/13/1973,0,1
3/7/1973,0,0
3/20/1973,0,1
4/17/1973,0,1
5/15/1973,0,1
6/19/1973,0,1
7/9/1973,0,0
7/17/1973,0,1
8/21/1973,0,1
9/18/1973,0,1
10/2/1973,0,0
10/10/1973,0,0
10/16/1973,0,1
11/20/1973,0,1
12/18/1973,0,1
1/22/1974,0,1
2/20/1974,0,1
3/19/1974,0,1
4/16/1974,0,1
5/21/1974,0,1
6/18/1974,0,1
7/5/1974,0,0
7/16/1974,0,1
8/20/1974,0,1
9/10/1974,0,1
10/15/1974,0,1
11/19/1974,0,1
12/17/1974,0,1
1/21/1975,0,1
2/19/1975,0,1
3/18/1975,0,1
4/15/1975,0,1
5/20/1975,0,1
6/17/1975,0,1
7/15/1975,0,1
8/19/1975,0,1
9/16/1975,0,1
10/21/1975,0,1
11/18/1975,0,1
12/16/1975,0,1
1/20/1976,0,1
2/18/1976,0,1
3/16/1976,0,1
3/29/1976,0,1
4/20/1976,0,1
5/18/1976,0,1
6/22/1976,0,1
7/20/1976,0,1
8/17/1976,0,1
9/21/1976,0,1
10/19/1976,0,1
11/8/1976,0,0
11/16/1976,0,1
12/21/1976,0,1
1/18/1977,0,1
2/15/1977,0,1
3/15/1977,0,1
4/19/1977,0,1
5/17/1977,0,1
5/27/1977,0,0
6/21/1977,0,1
7/19/1977,0,1
8/16/1977,0,1
9/20/1977,0,1
10/18/1977,0,1
11/15/1977,0,1
12/20/1977,0,1
1/5/1978,0,0
1/17/1978,0,1
2/28/1978,0,1
3/10/1978,0,0
3/21/1978,0,1
4/18/1978,0,1
5/5/1978,0,0
5/16/1978,0,1
6/20/1978,0,1
7/18/1978,0,1
8/15/1978,0,1
9/8/1978,0,0
9/19/1978,0,1
10/17/1978,0,1
11/21/1978,0,1
12/19/1978,0,1
1/12/1979,0,0
2/6/1979,0,1
3/2/1979,0,0
3/20/1979,0,1
4/17/1979,0,1
4/27/1979,0,0
5/22/1979,0,1
6/27/1979,0,0
7/11/1979,0,1
7/17/1979,0,0
7/19/1979,0,0
8/14/1979,0,1
9/18/1979,0,1
10/5/1979,0,0
10/6/1979,0,1
10/22/1979,0,0
11/20/1979,0,1
1/9/1980,0,1
2/5/1980,0,1
2/22/1980,0,0
3/7/1980,0,0
3/18/1980,0,1
4/22/1980,0,1
4/29/1980,0,0
5/6/1980,0,0
5/20/1980,0,1
6/5/1980,0,0
7/9/1980,0,1
7/25/1980,0,0
8/12/1980,0,1
8/22/1980,0,0
9/16/1980,0,1
10/21/1980,0,1
11/18/1980,0,1
11/26/1980,0,0
12/5/1980,0,0
12/12/1980,0,0
12/19/1980,0,1
2/3/1981,0,1
2/24/1981,0,0
3/31/1981,0,1
4/28/1981,0,0
5/6/1981,0,0
5/18/1981,0,1
6/17/1981,0,0
7/7/1981,0,1
7/17/1981,0,0
8/7/1981,0,0
8/18/1981,0,1
10/6/1981,0,1
11/17/1981,0,1
12/22/1981,0,1
2/2/1982,0,1
3/30/1982,0,1
5/18/1982,0,1
5/20/1982,0,0
7/1/1982,0,1
7/15/1982,0,0
8/24/1982,0,1
9/24/1982,0,0
10/5/1982,0,1
11/16/1982,0,1
12/21/1982,0,1
1/14/1983,0,0
1/21/1983,0,0
1/28/1983,0,0
2/9/1983,0,1
3/29/1983,0,1
4/29/1983,0,0
5/24/1983,0,1
6/23/1983,0,0
7/13/1983,0,1
8/23/1983,0,1
9/8/1983,0,0
10/4/1983,0,1
11/15/1983,0,1
12/20/1983,0,1
1/31/1984,0,1
3/20/1984,0,0
3/27/1984,0,1
5/22/1984,0,1
7/17/1984,0,1
8/21/1984,0,1
10/2/1984,0,1
11/7/1984,0,1
12/18/1984,0,1
1/18/1985,0,0
2/13/1985,0,1
3/26/1985,0,1
5/21/1985,0,1
7/10/1985,0,1
8/20/1985,0,1
9/23/1985,0,0
10/1/1985,0,1
11/5/1985,0,1
12/17/1985,0,1
2/12/1986,0,1
4/1/1986,0,1
4/21/1986,0,0
5/20/1986,0,1
7/9/1986,0,1
8/19/1986,0,1
9/23/1986,0,1
11/5/1986,0,1
